"timestamp","voltage"
"2022-09-23T13:54:23.527552","-0.0002603"
"2022-09-23T13:54:27.550034","-0.0002606"
"2022-09-23T13:54:31.573330","-0.0002609"
"2022-09-23T13:54:35.594160","-0.0002608"
"2022-09-23T13:54:39.613899","-0.0002605"
"2022-09-23T13:54:43.642493","-0.0002603"
"2022-09-23T13:54:47.658612","-0.0002609"
"2022-09-23T13:54:51.687624","-0.0002601"
"2022-09-23T13:54:55.714173","-0.0002606"
"2022-09-23T13:54:59.731778","-0.0002606"
"2022-09-23T13:55:03.755569","-0.0002612"
"2022-09-23T13:55:07.781759","-0.0002623"
"2022-09-23T13:55:11.803064","-0.0002608"
"2022-09-23T13:55:15.831608","-0.0002593"
"2022-09-23T13:55:19.855130","-0.0002599"
"2022-09-23T13:55:23.873624","-0.0002615"
"2022-09-23T13:55:27.901985","-0.0002618"
"2022-09-23T13:55:31.918129","-0.0002591"
"2022-09-23T13:55:35.948916","-0.000261"
"2022-09-23T13:55:39.968980","-0.0002615"
"2022-09-23T13:55:43.994331","-0.000262"
"2022-09-23T13:55:48.013582","-0.0002625"
"2022-09-23T13:55:52.042590","-0.0002622"
"2022-09-23T13:55:56.059981","-0.0002624"
"2022-09-23T13:56:00.083636","-0.0002622"
"2022-09-23T13:56:04.110921","-0.000262"
"2022-09-23T13:56:08.132977","-0.0002617"
"2022-09-23T13:56:12.153176","-0.0002623"
"2022-09-23T13:56:16.180560","-0.000263"
"2022-09-23T13:56:20.205408","-0.0002629"
"2022-09-23T13:56:24.231686","-0.0002635"
"2022-09-23T13:56:28.248371","-0.0002628"
"2022-09-23T13:56:32.279541","-0.0002634"
"2022-09-23T13:56:36.297230","-0.0002631"
"2022-09-23T13:56:40.317875","-0.0002631"
"2022-09-23T13:56:44.350178","-0.0002643"
"2022-09-23T13:56:48.370182","-0.0002634"
"2022-09-23T13:56:52.393910","-0.0002653"
"2022-09-23T13:56:56.420789","-0.0002639"
"2022-09-23T13:57:00.439732","-0.0002645"
"2022-09-23T13:57:04.465626","-0.0002644"
"2022-09-23T13:57:08.489683","-0.0002636"
"2022-09-23T13:57:12.508657","-0.0002636"
"2022-09-23T13:57:16.529928","-0.0002644"
"2022-09-23T13:57:20.560052","-0.1524132"
"2022-09-23T13:57:24.586510","-0.2468857"
"2022-09-23T13:57:28.600756","-0.247169"
"2022-09-23T13:57:32.631638","-0.2471723"
"2022-09-23T13:57:36.651428","-0.2471733"
"2022-09-23T13:57:40.681464","-0.2471738"
"2022-09-23T13:57:44.699934","-0.2471739"
"2022-09-23T13:57:48.724281","-0.2471748"
"2022-09-23T13:57:52.752665","-0.2471741"
"2022-09-23T13:57:56.774708","-0.2471746"
"2022-09-23T13:58:00.794482","-0.2471739"
"2022-09-23T13:58:04.817835","-0.2471755"
"2022-09-23T13:58:08.843959","-0.247175"
"2022-09-23T13:58:12.862110","-0.2471762"
"2022-09-23T13:58:16.889667","-0.2471751"
"2022-09-23T13:58:20.917533","-0.2471758"
"2022-09-23T13:58:24.936454","-0.2471755"
"2022-09-23T13:58:28.964570","-0.2471748"
"2022-09-23T13:58:32.979830","-0.247176"
"2022-09-23T13:58:37.005002","-0.2471746"
"2022-09-23T13:58:41.031862","-0.2471763"
"2022-09-23T13:58:45.056088","-0.2471775"
"2022-09-23T13:58:49.081411","-0.2471757"
"2022-09-23T13:58:53.107230","-0.2471758"
