"timestamp","voltage","voltage_scaled"
"2022-09-26T10:44:55.196919","-0.0002758",""
"2022-09-26T10:44:59.221494","-0.0002742",""
"2022-09-26T10:45:03.252222","-0.0002746",""
"2022-09-26T10:45:07.268224","-0.0002754",""
"2022-09-26T10:45:11.297674","-0.0002746",""
"2022-09-26T10:45:15.319350","-0.0002748",""
"2022-09-26T10:45:19.340361","-0.0002741",""
"2022-09-26T10:45:23.365155","-0.0002753",""
"2022-09-26T10:45:27.385657","-0.0002743",""
"2022-09-26T10:45:31.414484","-0.0002744",""
"2022-09-26T10:45:35.437820","-0.0002746",""
"2022-09-26T10:45:39.455876","-0.0002748",""
"2022-09-26T10:45:43.485269","-0.0002721",""
"2022-09-26T10:45:47.509418","-0.0002744",""
"2022-09-26T10:45:51.524907","-0.0002741",""
"2022-09-26T10:45:55.553278","-0.0002744",""
"2022-09-26T10:45:59.571878","-0.0002751",""
"2022-09-26T10:46:03.592826","-0.0002739",""
"2022-09-26T10:46:07.617438","-0.0002743",""
"2022-09-26T10:46:11.642578","-0.0002748",""
"2022-09-26T10:46:15.666309","-0.0002744",""
"2022-09-26T10:46:19.691118","-0.0002746",""
"2022-09-26T10:46:23.715638","-0.0002755",""
"2022-09-26T10:46:27.739587","-0.0002736",""
"2022-09-26T10:46:31.763281","-0.0002746",""
"2022-09-26T10:46:35.781945","-0.0002746",""
"2022-09-26T10:46:39.803580","-0.0002732",""
"2022-09-26T10:46:43.825493","-0.0002749",""
"2022-09-26T10:46:47.851846","-0.0002732",""
"2022-09-26T10:46:51.873468","-0.0002728",""
"2022-09-26T10:46:55.901234","-0.0002732",""
"2022-09-26T10:46:59.922932","-0.0002725",""
"2022-09-26T10:47:03.941943","-0.0002723",""
"2022-09-26T10:47:07.970523","-0.0002722",""
"2022-09-26T10:47:11.991326","-0.0002728",""
"2022-09-26T10:47:16.013457","-0.0002733",""
"2022-09-26T10:47:20.039525","-0.0002724",""
"2022-09-26T10:47:24.061647","-0.0002743",""
"2022-09-26T10:47:28.079393","-0.0002749",""
"2022-09-26T10:47:32.106579","-0.0002741",""
"2022-09-26T10:47:36.129706","-0.0002748",""
"2022-09-26T10:47:40.156395","-0.000274",""
"2022-09-26T10:47:44.178801","-0.0002744",""
"2022-09-26T10:47:48.196977","-0.0002724",""
"2022-09-26T10:47:52.220788","-0.0002731",""
"2022-09-26T10:47:56.254019","-0.000273",""
"2022-09-26T10:48:00.277403","-0.0002718",""
"2022-09-26T10:48:04.298437","-0.0002727",""
"2022-09-26T10:48:08.317860","-0.0002729",""
